Total volume ~42 µl,EMper_total_copy_numbers,Total volume ~92 µl,BMper_total_copy_numbers,domain,supergroup,division,subdivision,class,order,family,genus,species
Phaeocystis pouchetii,4.545454545,Phaeocystis pouchetii,35,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii
Phaeocystis globosa,4.545454545,Phaeocystis globosa,2,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa
Emiliania huxleyi,4.545454545,Emiliania huxleyi,0.5,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_huxleyi
Micromonas pusilla,4.545454545,Micromonas pusilla,10,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_pusilla
Chrysochromulina,4.545454545,Chrysochromulina,2,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,
Chaetoceros muelleri,4.545454545,Chaetoceros muelleri,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_muelleri
Melosira arctica,4.545454545,Melosira arctica,10,Eukaryota,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica
Odontella aurita,4.545454545,Odontella aurita,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella_aurita
Thalassiosira sp.,4.545454545,Thalassiosira sp.,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
Thalassiosira hyalina,4.545454545,Thalassiosira hyalina,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
Thalassiosira weissflogii,4.545454545,Thalassiosira weissflogii,10,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
Leptocylindrus danicus,4.545454545,Leptocylindrus danicus,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Leptocylindraceae,Leptocylindrus,Leptocylindrus_danicus
Skeletonema,4.545454545,Skeletonema,0.5,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,
Pseudo-nitzschia,4.545454545,Pseudo-nitzschia,0.5,Eukaryota,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
Chaetoceros socialis,4.545454545,Chaetoceros socialis,2,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_socialis
Prorocentrum micans,4.545454545,Prorocentrum micans,10,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans
Alexandrium minutum,4.545454545,Alexandrium minutum,0.5,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium_minutum
Karlodinium,4.545454545,Karlodinium,2,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,
Heterocapsa,4.545454545,Heterocapsa,2,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,
Prasinoderma coloniale,4.545454545,Prasinoderma coloniale,2,Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,Prasinodermophyceae,Prasinodermales,Prasinodermaceae,Prasinoderma,Prasinoderma_coloniale
Prasinococcus capsulata,4.545454545,Prasinococcus capsulata,0.5,Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinococcus,Prasinococcus_capsulatus
Pyramimonas,4.545454545,Pyramimonas,0.5,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,