domain,supergroup,division,subdivision,Analyzing_Institute,count
Archaea,TACK,Thaumarchaeota,Thaumarchaeota_X,NOAA,1
Bacteria,PANNAM,Nitrospinae,Nitrospinae_X,NOAA,1
Bacteria,PANNAM,Proteobacteria,Proteobacteria_X,NOAA,66
Bacteria,PVC,Planctomycetes,Planctomycetes_X,NOAA,2
Bacteria,PVC,Verrucomicrobia,Verrucomicrobia_X,NOAA,5
Bacteria,,,,NOAA,6
Eukaryota,Amoebozoa,Discosea,Discosea_X,AWI,3
Eukaryota,Amoebozoa,Discosea,Discosea_X,MBARI,6
Eukaryota,Amoebozoa,Discosea,Discosea_X,NOAA,10
Eukaryota,Amoebozoa,Evosea,Evosea_X,AWI,1
Eukaryota,Amoebozoa,Evosea,Evosea_X,MBARI,2
Eukaryota,Amoebozoa,Evosea,Evosea_X,UDAL,1
Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,AWI,1
Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,MBARI,4
Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,NOAA,3
Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,UDAL,1
Eukaryota,Amoebozoa,,,NOAA,2
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,AWI,152
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,MBARI,63
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,NOAA,55
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,SBR,25
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,UDAL,37
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,AWI,30
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,MBARI,1
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,NOAA,9
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,SBR,18
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_1,UDAL,10
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_2,AWI,7
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_2,MBARI,2
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_2,NOAA,4
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_2,SBR,1
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_2,UDAL,5
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_3,AWI,6
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_3,SBR,2
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_3,UDAL,4
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_4,AWI,1
Eukaryota,Archaeplastida,Picozoa,Picozoa_subdivision_4,SBR,1
Eukaryota,Archaeplastida,Picozoa,,SBR,1
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,AWI,12
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,MBARI,3
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,NOAA,2
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,SBR,1
Eukaryota,Archaeplastida,Prasinodermophyta,Prasinodermophyta_X,UDAL,3
Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,AWI,48
Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,MBARI,26
Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,NOAA,10
Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,UDAL,6
Eukaryota,Archaeplastida,Rhodophyta,Rhodophyta_X,AWI,1
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,AWI,6
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,MBARI,8
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,NOAA,6
Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,UDAL,2
Eukaryota,Archaeplastida,,,AWI,1
Eukaryota,Archaeplastida,,,MBARI,11
Eukaryota,Archaeplastida,,,NOAA,6
Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,AWI,29
Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,MBARI,16
Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,NOAA,8
Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,SBR,9
Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,UDAL,15
Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,AWI,11
Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,MBARI,4
Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,NOAA,4
Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,UDAL,7
Eukaryota,Cryptista,,,MBARI,2
Eukaryota,Eukaryota_X,Ancyromonadida,Ancyromonadida_X,AWI,1
Eukaryota,Eukaryota_X,Ancyromonadida,Ancyromonadida_X,MBARI,1
Eukaryota,Eukaryota_X,Ancyromonadida,Ancyromonadida_X,NOAA,1
Eukaryota,Eukaryota_X,Ancyromonadida,Ancyromonadida_X,SBR,2
Eukaryota,Excavata,Discoba,Discoba_X,MBARI,1
Eukaryota,Excavata,Discoba,Discoba_X,NOAA,2
Eukaryota,Excavata,Discoba,Euglenozoa,MBARI,91
Eukaryota,Excavata,Discoba,Euglenozoa,NOAA,47
Eukaryota,Excavata,Discoba,,MBARI,1
Eukaryota,Excavata,Metamonada,Fornicata,AWI,1
Eukaryota,Excavata,Metamonada,Preaxostyla,AWI,1
Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,AWI,8
Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,MBARI,2
Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,NOAA,1
Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,SBR,1
Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,UDAL,2
Eukaryota,Haptista,Haptophyta,Haptophyta_X,AWI,292
Eukaryota,Haptista,Haptophyta,Haptophyta_X,MBARI,105
Eukaryota,Haptista,Haptophyta,Haptophyta_X,NOAA,26
Eukaryota,Haptista,Haptophyta,Haptophyta_X,SBR,363
Eukaryota,Haptista,Haptophyta,Haptophyta_X,UDAL,89
Eukaryota,Haptista,,,MBARI,2
Eukaryota,Obazoa,Apusomonada,Apusomonada_X,AWI,5
Eukaryota,Obazoa,Apusomonada,Apusomonada_X,MBARI,2
Eukaryota,Obazoa,Apusomonada,Apusomonada_X,NOAA,2
Eukaryota,Obazoa,Apusomonada,Apusomonada_X,SBR,1
Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,AWI,53
Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,MBARI,16
Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,NOAA,18
Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,SBR,35
Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,UDAL,20
Eukaryota,Obazoa,Opisthokonta,Filasterea,AWI,1
Eukaryota,Obazoa,Opisthokonta,Filasterea,MBARI,1
Eukaryota,Obazoa,Opisthokonta,Fungi,AWI,39
Eukaryota,Obazoa,Opisthokonta,Fungi,MBARI,50
Eukaryota,Obazoa,Opisthokonta,Fungi,NOAA,69
Eukaryota,Obazoa,Opisthokonta,Fungi,SBR,9
Eukaryota,Obazoa,Opisthokonta,Fungi,UDAL,10
Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,AWI,20
Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,MBARI,2
Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,NOAA,4
Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,SBR,7
Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,UDAL,3
Eukaryota,Obazoa,Opisthokonta,Metazoa,AWI,278
Eukaryota,Obazoa,Opisthokonta,Metazoa,MBARI,323
Eukaryota,Obazoa,Opisthokonta,Metazoa,NOAA,322
Eukaryota,Obazoa,Opisthokonta,Metazoa,SBR,121
Eukaryota,Obazoa,Opisthokonta,Metazoa,UDAL,105
Eukaryota,Obazoa,Opisthokonta,Opisthokonta_X,AWI,1
Eukaryota,Obazoa,Opisthokonta,Opisthokonta_X,MBARI,1
Eukaryota,Obazoa,Opisthokonta,Rotosphaerida,AWI,3
Eukaryota,Obazoa,Opisthokonta,,AWI,8
Eukaryota,Obazoa,Opisthokonta,,MBARI,30
Eukaryota,Obazoa,Opisthokonta,,NOAA,26
Eukaryota,Obazoa,Opisthokonta,,SBR,2
Eukaryota,Obazoa,Opisthokonta,,UDAL,2
Eukaryota,Obazoa,,,AWI,1
Eukaryota,Obazoa,,,NOAA,5
Eukaryota,Provora,Nibbleridia,Nibbleridia_X,NOAA,1
Eukaryota,TSAR,Alveolata,Alveolata_X,MBARI,1
Eukaryota,TSAR,Alveolata,Apicomplexa,AWI,16
Eukaryota,TSAR,Alveolata,Apicomplexa,MBARI,12
Eukaryota,TSAR,Alveolata,Apicomplexa,NOAA,54
Eukaryota,TSAR,Alveolata,Apicomplexa,SBR,3
Eukaryota,TSAR,Alveolata,Apicomplexa,UDAL,1
Eukaryota,TSAR,Alveolata,Chrompodellids,AWI,1
Eukaryota,TSAR,Alveolata,Ciliophora,AWI,261
Eukaryota,TSAR,Alveolata,Ciliophora,MBARI,155
Eukaryota,TSAR,Alveolata,Ciliophora,NOAA,110
Eukaryota,TSAR,Alveolata,Ciliophora,SBR,150
Eukaryota,TSAR,Alveolata,Ciliophora,UDAL,68
Eukaryota,TSAR,Alveolata,Dinoflagellata,AWI,1386
Eukaryota,TSAR,Alveolata,Dinoflagellata,MBARI,972
Eukaryota,TSAR,Alveolata,Dinoflagellata,NOAA,262
Eukaryota,TSAR,Alveolata,Dinoflagellata,SBR,1314
Eukaryota,TSAR,Alveolata,Dinoflagellata,UDAL,247
Eukaryota,TSAR,Alveolata,Perkinsea,AWI,8
Eukaryota,TSAR,Alveolata,Perkinsea,NOAA,2
Eukaryota,TSAR,Alveolata,,AWI,13
Eukaryota,TSAR,Alveolata,,MBARI,104
Eukaryota,TSAR,Alveolata,,NOAA,60
Eukaryota,TSAR,Alveolata,,SBR,2
Eukaryota,TSAR,Rhizaria,Cercozoa,AWI,388
Eukaryota,TSAR,Rhizaria,Cercozoa,MBARI,131
Eukaryota,TSAR,Rhizaria,Cercozoa,NOAA,93
Eukaryota,TSAR,Rhizaria,Cercozoa,SBR,91
Eukaryota,TSAR,Rhizaria,Cercozoa,UDAL,99
Eukaryota,TSAR,Rhizaria,Foraminifera,MBARI,8
Eukaryota,TSAR,Rhizaria,Foraminifera,NOAA,10
Eukaryota,TSAR,Rhizaria,Radiolaria,AWI,68
Eukaryota,TSAR,Rhizaria,Radiolaria,MBARI,111
Eukaryota,TSAR,Rhizaria,Radiolaria,NOAA,4
Eukaryota,TSAR,Rhizaria,Radiolaria,SBR,8
Eukaryota,TSAR,Rhizaria,Radiolaria,UDAL,5
Eukaryota,TSAR,Rhizaria,,NOAA,2
Eukaryota,TSAR,Stramenopiles,Bigyra,AWI,280
Eukaryota,TSAR,Stramenopiles,Bigyra,MBARI,123
Eukaryota,TSAR,Stramenopiles,Bigyra,NOAA,83
Eukaryota,TSAR,Stramenopiles,Bigyra,SBR,102
Eukaryota,TSAR,Stramenopiles,Bigyra,UDAL,18
Eukaryota,TSAR,Stramenopiles,Gyrista,AWI,692
Eukaryota,TSAR,Stramenopiles,Gyrista,MBARI,349
Eukaryota,TSAR,Stramenopiles,Gyrista,NOAA,190
Eukaryota,TSAR,Stramenopiles,Gyrista,SBR,653
Eukaryota,TSAR,Stramenopiles,Gyrista,UDAL,86
Eukaryota,TSAR,Stramenopiles,Stramenopiles_X,AWI,13
Eukaryota,TSAR,Stramenopiles,Stramenopiles_X,SBR,2
Eukaryota,TSAR,Stramenopiles,,AWI,4
Eukaryota,TSAR,Stramenopiles,,MBARI,52
Eukaryota,TSAR,Stramenopiles,,NOAA,28
Eukaryota,TSAR,Stramenopiles,,SBR,1
Eukaryota,TSAR,Telonemia,Telonemia_X,AWI,43
Eukaryota,TSAR,Telonemia,Telonemia_X,MBARI,12
Eukaryota,TSAR,Telonemia,Telonemia_X,NOAA,18
Eukaryota,TSAR,Telonemia,Telonemia_X,SBR,24
Eukaryota,TSAR,Telonemia,Telonemia_X,UDAL,19
Eukaryota,TSAR,,,AWI,10
Eukaryota,TSAR,,,MBARI,54
Eukaryota,TSAR,,,NOAA,38
Eukaryota,TSAR,,,SBR,16
Eukaryota,TSAR,,,UDAL,1
Eukaryota,,,,AWI,65
Eukaryota,,,,MBARI,395
Eukaryota,,,,NOAA,355
Eukaryota,,,,SBR,26
Eukaryota,,,,UDAL,4
Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta_X:nucl,AWI,32
Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta_X:nucl,MBARI,10
Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta_X:nucl,NOAA,5
Eukaryota:nucl,Cryptista:nucl,Cryptophyta:nucl,Cryptophyta_X:nucl,UDAL,10
Eukaryota:nucl,TSAR:nucl,Rhizaria:nucl,Cercozoa:nucl,AWI,1
Eukaryota:plas,,,,NOAA,2
,,,,AWI,12
,,,,MBARI,436
,,,,NOAA,617
,,,,SBR,3
,,,,UDAL,1
